,name,id,most_freq
41,Birra Tirana Kuqalashe,138156,"[('sweet', 5), ('caramel', 3), ('white', 3), ('clear', 2), ('mild', 2), ('medium', 2), ('light', 2), ('wet', 1), ('malty', 1), ('creamy', 1)]"
42,Norga The Best Beer,135903,"[('beer', 13), ('sweet', 5), ('light', 5), ('malty', 4), ('buttery', 3), ('hazy', 2), ('orange', 2), ('alcoholic', 2), ('mild', 2), ('white', 2)]"
43,Norga Premium Läger,68725,"[('white', 5), ('balanced', 2), ('clear', 2), ('grainy', 2), ('sweet', 2), ('pepper', 2), ('light', 2), ('bread', 1), ('hazy', 1), ('malty', 1)]"
44,Birra Tirana,5423,"[('light', 6), ('sweet', 5), ('white', 5), ('bitter', 4), ('grainy', 2), ('grass', 2), ('mild', 2), ('bread', 1), ('gold', 1), ('malty', 1)]"
45,Stela Pils,220722,"[('sweet', 13), ('light', 13), ('clear', 7), ('medium', 6), ('white', 6), ('grainy', 5), ('bitter', 5), ('malty', 3), ('bread', 1), ('frothy', 1)]"
46,Stela Pils 4%,287791,"[('light', 12), ('clear', 6), ('sweet', 6), ('white', 5), ('grainy', 4), ('bitter', 4), ('bread', 3), ('malty', 3), ('medium', 3), ('frothy', 1)]"
47,Korça 01 Lager Beer,153090,"[('beer', 8), ('bitter', 4), ('sweet', 3), ('light', 3), ('hot', 3), ('grainy', 2), ('hay', 2), ('nutty', 2), ('white', 2), ('gold', 1)]"
48,Stela,15329,"[('gold', 3), ('clear', 3), ('white', 3), ('sweet', 2), ('medium', 2), ('dull', 1), ('grainy', 1), ('lemon', 1), ('straw', 1), ('metallic', 1)]"
49,Super Star,447229,"[('light', 2), ('clear', 1), ('white', 1)]"
50,Schems Bavaroise,48016,"[('light', 6), ('malty', 2), ('beer', 2), ('white', 2), ('bitter', 2), ('alcohol', 1), ('straw', 1), ('honey', 1), ('medium', 1)]"
51,Algad Golden Pils,54519,"[('dry', 2), ('frothy', 1), ('grainy', 1), ('medium', 1), ('light', 1), ('bitter', 1)]"
52,Algad Lalla Princesse,54521,"[('bitter', 1)]"
53,Beaufort (Algeria),56956,"[('clear', 1), ('light', 1)]"
54,Tango Samba,57042,"[('gold', 1), ('sweet', 1), ('light', 1), ('white', 1), ('tangerine', 1)]"
55,Albraü Bière Blonde,430171,"[('bready', 3), ('light', 3), ('white', 3), ('medium', 2), ('bread', 1), ('clear', 1), ('creamy', 1), ('mild', 1), ('apple', 1), ('bitter', 1)]"
56,Koelberg,430172,"[('light', 3), ('white', 3), ('buttery', 2), ('creamy', 2), ('medium', 2), ('dry', 2), ('bitter', 2), ('heavy', 1), ('bready', 1), ('clear', 1)]"
57,Hofbräu Bavière Bavaroise Premium Pils,56945,"[('sweet', 5), ('white', 3), ('malty', 2), ('clear', 2), ('metallic', 2), ('medium', 2), ('grainy', 1), ('fruity', 1), ('harsh', 1)]"
58,Algad Extreme Beer,54520,"[('wet', 1), ('sharp', 1), ('clear', 1), ('round', 1), ('alcohol', 1), ('straw', 1), ('metallic', 1), ('grass', 1), ('beer', 1), ('medium', 1)]"
59,Tango Bière Blonde,56929,"[('beer', 7), ('white', 4), ('light', 3), ('gold', 2), ('clear', 2), ('grainy', 2), ('sweet', 2), ('wet', 1), ('malty', 1), ('straw', 1)]"
60,S.A.R.L. Tango (Heineken),56950,"[('malty', 2), ('sweet', 2), ('straw', 1), ('bright', 1), ('white', 1)]"
61,Algad Power Beer,57309,"[('light', 8), ('sweet', 4), ('malty', 3), ('white', 3), ('beer', 2), ('buttery', 1), ('clear', 1), ('straw', 1), ('fruity', 1), ('dry', 1)]"
62,Mini BR,43344,"[('sweet', 8), ('hazy', 4), ('beer', 4), ('light', 4), ('white', 3), ('oily', 1), ('spicy', 1), ('gold', 1), ('wet', 1), ('malty', 1)]"
63,B.A.O. Kelch,43345,"[('light', 4), ('beer', 3), ('malty', 2), ('sweet', 2), ('clear', 1), ('metallic', 1), ('creamy', 1), ('fruity', 1), ('dry', 1), ('white', 1)]"
64,La Birreria Trapella,372389,"[('dark', 9), ('chocolate', 7), ('coffee', 5), ('roasted', 5), ('brown', 5), ('black', 4), ('sweet', 3), ('medium', 3), ('light', 3), ('caramel', 3)]"
65,La Birreria Trapella Rock Star,553034,"[('bitter', 7), ('sweet', 6), ('medium', 6), ('dry', 5), ('malty', 3), ('grass', 3), ('oily', 2), ('clear', 2), ('light', 2), ('caramel', 2)]"
66,La Birreria Trapella IPA,444176,"[('fruity', 10), ('white', 8), ('clear', 4), ('malty', 3), ('mild', 3), ('medium', 3), ('bitter', 3), ('mango', 2), ('sweet', 2), ('light', 2)]"
67,La Birreria Trapella Red Nose,551554,"[('bitter', 9), ('medium', 5), ('white', 5), ('hazy', 4), ('sweet', 4), ('dry', 4), ('heavy', 3), ('caramel', 3), ('oily', 2), ('malty', 2)]"
68,Alpha La Font Del Bisbe,226075,"[('medium', 6), ('light', 4), ('caramel', 4), ('bitter', 4), ('malty', 3), ('dark', 3), ('roasted', 3), ('fruity', 3), ('clear', 2), ('brown', 2)]"
69,Alpha Black Porter,421176,"[('black', 1), ('beer', 1), ('medium', 1), ('bitter', 1)]"
70,Alpha Dama de Gel,347619,"[('tart', 3), ('red', 2), ('dark', 1), ('vanilla', 1), ('alcohol', 1), ('vinegar', 1), ('brown', 1), ('dry', 1)]"
71,Alpha Sant Corneli,222280,"[('sweet', 9), ('medium', 6), ('light', 6), ('fruity', 6), ('bitter', 6), ('hazy', 5), ('white', 4), ('heavy', 3), ('malty', 3), ('caramel', 3)]"
72,Alpha Els Amants del Roc,432481,"[('roasted', 5), ('coffee', 3), ('dark', 3), ('brown', 3), ('prunes', 2), ('chocolate', 2), ('alcohol', 2), ('sweet', 2), ('mild', 2), ('hazy', 1)]"
73,Alpha  Fums,236915,"[('light', 1), ('smoked', 1), ('chestnut', 1)]"
74,Alpha El Testament Del Llop,481027,"[('tobacco', 3), ('hazy', 2), ('malty', 2), ('orange', 2), ('tart', 2), ('pine', 2), ('medium', 2), ('caramel', 2), ('dark', 1), ('bacon', 1)]"
75,Alpha Roure (Especial Lager),179235,"[('light', 8), ('medium', 6), ('dry', 5), ('caramel', 4), ('amber', 4), ('hazy', 3), ('white', 3), ('sweet', 2), ('fresh', 2), ('grass', 2)]"
76,La Birreria Trapella Doggy Queen,553019,"[('light', 8), ('sweet', 6), ('medium', 6), ('bitter', 5), ('grass', 4), ('white', 4), ('malty', 3), ('clear', 3), ('frothy', 2), ('grainy', 2)]"
77,Alpha Roure Pale Ale,194852,"[('beer', 2), ('hazy', 1), ('buttery', 1), ('lemon', 1), ('orange', 1), ('vinegar', 1), ('sweet', 1), ('medium', 1), ('white', 1)]"
78,Alpha Andorbock Fumat,196132,"[('smoked', 5), ('caramel', 3), ('burnt', 2), ('light', 2), ('alcohol', 1), ('orange', 1), ('beer', 1), ('white', 1), ('opaque', 1)]"
79,Cerveses Alpha La Dama Blanca,481032,"[('light', 11), ('sweet', 9), ('medium', 6), ('fruity', 6), ('bitter', 5), ('hazy', 4), ('caramel', 4), ('oily', 3), ('malty', 3), ('white', 3)]"
80,La Birreria Trapella Scrum,555633,"[('light', 10), ('sweet', 5), ('bitter', 5), ('medium', 4), ('white', 4), ('malty', 2), ('clear', 2), ('oily', 1), ('spicy', 1), ('frothy', 1)]"
81,Alpha Full Fusion,276147,"[('red', 7), ('sweet', 6), ('hazy', 5), ('light', 5), ('white', 5), ('beer', 3), ('bitter', 3), ('clear', 2), ('cloudy', 2), ('spicy', 1)]"
82,Alpha La Farga,194851,"[('smoked', 2), ('bready', 1), ('earthy', 1), ('brown', 1), ('sweet', 1), ('caramel', 1)]"
83,Alpha Monjo Boig,168447,"[('beer', 6), ('white', 5), ('hazy', 3), ('light', 3), ('cloudy', 3), ('fruity', 3), ('orange', 2), ('sweet', 2), ('apricot', 2), ('gold', 1)]"
84,La Birreria Trapella Ginger Beard,553044,"[('sweet', 7), ('caramel', 6), ('amber', 5), ('light', 4), ('malty', 3), ('bitter', 3), ('spicy', 2), ('clear', 2), ('medium', 2), ('oily', 1)]"
85,Cerveses Alpha,164176,"[('hazy', 6), ('caramel', 5), ('amber', 5), ('beer', 3), ('light', 3), ('deep', 2), ('white', 2), ('copper', 1), ('gold', 1), ('malty', 1)]"
86,Cerveses Alpha,177830,"[('light', 6), ('hazy', 5), ('medium', 4), ('tart', 3), ('caramel', 3), ('roasted', 2), ('leather', 2), ('brown', 2), ('sweet', 2), ('fruity', 2)]"
87,Alpha Crepuscle,177235,"[('roasted', 11), ('coffee', 7), ('black', 7), ('dark', 5), ('chocolate', 5), ('brown', 4), ('beer', 3), ('light', 3), ('vinegar', 2), ('plum', 2)]"
88,Alpha Eagle,222282,"[('beer', 6), ('fresh', 5), ('dry', 4), ('white', 4), ('orange', 3), ('cloudy', 3), ('burnt', 2), ('medium', 2), ('light', 2), ('dark', 1)]"
89,Alpha El Barranc Dels Dimonis,553040,"[('sweet', 7), ('red', 6), ('medium', 5), ('light', 4), ('white', 4), ('clear', 3), ('bitter', 3), ('frothy', 2), ('malty', 2), ('dark', 1)]"
90,Cerveses Alpha,154459,"[('white', 8), ('light', 7), ('hazy', 5), ('fruity', 5), ('vinegar', 4), ('mild', 4), ('medium', 3), ('malty', 2), ('sweet', 2), ('fresh', 2)]"
91,N´gola Cerveja Superior,148374,"[('malty', 2), ('straw', 1), ('creamy', 1), ('light', 1), ('white', 1), ('bitter', 1)]"
92,Nocal Cerveja Internacional,14078,"[('sweet', 9), ('malty', 7), ('white', 6), ('light', 5), ('clear', 4), ('bitter', 3), ('toast', 2), ('grass', 2), ('beer', 2), ('caramel', 2)]"
93,Eka,70816,"[('white', 7), ('clear', 6), ('light', 6), ('sweet', 5), ('medium', 4), ('grainy', 3), ('malty', 2), ('straw', 2), ('frothy', 1), ('bright', 1)]"
94,Nova Cuca,59433,"[('white', 5), ('malty', 3), ('clear', 3), ('metallic', 2), ('beer', 2), ('medium', 2), ('light', 2), ('bread', 1), ('gold', 1), ('heavy', 1)]"
95,Antigua Brewery (Royal Unibrew),7979,"[('light', 9), ('beer', 7), ('white', 4), ('sweet', 3), ('clear', 2), ('grainy', 2), ('metallic', 2), ('bitter', 2), ('gold', 1), ('wet', 1)]"
96,Antigua Brewery (Royal Unibrew),103599,"[('sweet', 8), ('white', 5), ('clear', 4), ('light', 4), ('gold', 2), ('malty', 2), ('dark', 2), ('grainy', 2), ('beer', 2), ('mild', 2)]"
97,Juguetes Perdidos Baltic Porter Cognac Barrel Aged,521949,"[('chocolate', 4), ('sweet', 4), ('roast', 3), ('beer', 3), ('black', 2), ('roasted', 2), ('alcohol', 2), ('spicy', 1), ('coffee', 1), ('full', 1)]"
98,Araucana Rojiza Fuerte,82421,"[('caramel', 5), ('amber', 5), ('alcohol', 4), ('sweet', 4), ('beer', 4), ('cloudy', 3), ('fruity', 3), ('dry', 3), ('full', 2), ('malty', 2)]"
99,Juguetes Perdidos Imperial Porter Barrel Aged with Dried Sour Cherries,522012,"[('alcohol', 4), ('vanilla', 3), ('sweet', 3), ('dark', 2), ('red', 2), ('chocolate', 2), ('black', 2), ('roasted', 2), ('beer', 2), ('caramel', 2)]"
100,Shopron,55731,"[('chocolate', 4), ('bitter', 4), ('dark', 3), ('coffee', 2), ('black', 2), ('brown', 2), ('sweet', 2), ('medium', 2), ('malty', 1), ('roasted', 1)]"
101,Murray's IPA,57964,"[('caramel', 4), ('beer', 3), ('spicy', 2), ('malty', 2), ('medium', 2), ('white', 2), ('gold', 1), ('hazy', 1), ('full', 1), ('complex', 1)]"
102,Juguetes Perdidos Imperial Saison Chardonay Barrel,522225,"[('sweet', 7), ('caramel', 5), ('orange', 2), ('beer', 2), ('white', 2), ('bitter', 2), ('full', 1), ('dark', 1), ('sharp', 1), ('clear', 1)]"
103,La Loggia Imperial Stout,70569,"[('chocolate', 15), ('black', 10), ('roasted', 10), ('coffee', 9), ('dark', 8), ('medium', 6), ('light', 6), ('bitter', 6), ('brown', 5), ('sweet', 5)]"
104,Antares IPA,71783,"[('beer', 5), ('clear', 3), ('light', 3), ('fruity', 3), ('white', 3), ('bitter', 3), ('pine', 2), ('copper', 1), ('dark', 1), ('balanced', 1)]"
105,Rubia y Negra,60179,"[('balanced', 2), ('sweet', 2), ('light', 2), ('caramel', 2), ('amber', 2), ('white', 2), ('bread', 1), ('copper', 1), ('hazy', 1), ('butterscotch', 1)]"
106,Antares Imperial Stout,41129,"[('chocolate', 5), ('dark', 4), ('black', 4), ('roasted', 3), ('alcohol', 3), ('clear', 2), ('toffee', 2), ('light', 2), ('caramel', 2), ('dry', 2)]"
107,Los Bichos Mandan Patagonia Wild Berries Sour,521926,"[('vinegar', 6), ('fruity', 3), ('sharp', 2), ('clear', 2), ('beer', 2), ('white', 2), ('full', 1), ('malty', 1), ('dark', 1), ('red', 1)]"
108,Beagle Fuegian Cream Stout,219693,"[('beer', 10), ('coffee', 6), ('dark', 6), ('brown', 5), ('creamy', 5), ('bitter', 5), ('chocolate', 4), ('roasted', 4), ('sweet', 4), ('light', 4)]"
109,Berlina Foreign Stout,57120,"[('coffee', 11), ('chocolate', 9), ('light', 7), ('black', 6), ('roasted', 6), ('sweet', 5), ('dark', 3), ('brown', 3), ('medium', 3), ('caramel', 3)]"
110,Antares Cream Stout,41126,"[('dark', 6), ('creamy', 6), ('chocolate', 4), ('licorice', 4), ('coffee', 2), ('roast', 2), ('balanced', 2), ('sweet', 2), ('beer', 2), ('dry', 2)]"
111,Los Bichos Mandan Red Hot Chili Sour,521927,"[('vinegar', 6), ('dark', 4), ('red', 3), ('acidic', 3), ('beer', 3), ('medium', 3), ('full', 2), ('roasted', 2), ('clear', 2), ('brown', 2)]"
112,Berlina Colonia Suiza,345721,"[('sweet', 1)]"
113,Berlina Old Ale,310092,"[('chocolate', 2), ('toffee', 2), ('caramel', 2), ('hazy', 1), ('malty', 1), ('garnet', 1), ('buttery', 1), ('leather', 1), ('alcohol', 1), ('creamy', 1)]"
114,Me Echó La Burra Negra,313977,"[('roasted', 2), ('coffee', 1), ('dark', 1)]"
115,Eisenbrucke Russian Imperial Stout,174900,"[('beer', 7), ('fruity', 3), ('coffee', 2), ('chocolate', 2), ('roasted', 2), ('medium', 2), ('light', 2), ('full', 1), ('dark', 1), ('black', 1)]"
116,Los Bichos Mandan Golden Sour Peaches,521922,"[('vinegar', 5), ('acidic', 4), ('malty', 2), ('clear', 2), ('lemon', 2), ('peach', 2), ('beer', 2), ('spicy', 1), ('balanced', 1), ('mild', 1)]"
117,Juguetes Perdidos Imperial Stout,522500,"[('black', 3), ('roasted', 3), ('alcoholic', 3), ('heavy', 2), ('malty', 2), ('roast', 2), ('beer', 2), ('medium', 2), ('caramel', 2), ('coffee', 1)]"
118,Itzel American Rye IPA,494884,"[('beer', 8), ('acidic', 3), ('balanced', 2), ('sweet', 2), ('pine', 2), ('medium', 2), ('full', 1), ('malty', 1), ('grass', 1), ('smooth', 1)]"
119,Berlina India Pale Ale,57119,"[('medium', 5), ('sweet', 4), ('light', 4), ('amber', 4), ('heavy', 3), ('beer', 3), ('caramel', 3), ('hazy', 2), ('orange', 2), ('fruity', 2)]"
120,Barba Roja Barrel Aged Red Ale,106046,"[('caramel', 13), ('beer', 9), ('sweet', 7), ('red', 4), ('medium', 4), ('oily', 3), ('malty', 3), ('dark', 3), ('clear', 3), ('toffee', 3)]"
121,El Bolson Negra Extra,7165,"[('sweet', 12), ('chocolate', 9), ('dark', 8), ('coffee', 7), ('brown', 6), ('bitter', 5), ('roasted', 4), ('beer', 3), ('toffee', 2), ('acidic', 2)]"
122,Buller India Pale Ale,20737,"[('fruity', 6), ('bitter', 6), ('beer', 5), ('clear', 3), ('honey', 3), ('medium', 3), ('light', 3), ('amber', 3), ('malty', 2), ('sweet', 2)]"
123,Rubia y Negra,60180,"[('coffee', 5), ('light', 4), ('chocolate', 3), ('black', 2), ('roasted', 2), ('creamy', 2), ('medium', 2), ('deep', 2), ('espresso', 1), ('oily', 1)]"
124,Juguetes Perdidos Strong Dark Belgian Cognac Barrel,522240,"[('dark', 4), ('alcohol', 2), ('brown', 2), ('metallic', 2), ('sweet', 2), ('beer', 2), ('caramel', 2), ('fruity', 2), ('harsh', 2), ('bitter', 2)]"
125,Buller Dry Stout,21203,"[('roasted', 6), ('coffee', 5), ('creamy', 5), ('dark', 4), ('brown', 4), ('beer', 4), ('chocolate', 3), ('black', 2), ('smooth', 2), ('medium', 2)]"
126,Kraken Imperial Stout,138006,"[('coffee', 8), ('dark', 7), ('roasted', 7), ('chocolate', 6), ('brown', 6), ('light', 6), ('bitter', 6), ('sweet', 5), ('medium', 5), ('black', 4)]"
127,Bersaglier Cream Stout,52616,"[('coffee', 3), ('light', 3), ('chocolate', 2), ('black', 2), ('roasted', 2), ('burnt', 2), ('bitter', 2), ('spicy', 1), ('full', 1), ('complex', 1)]"
128,Cape Horn Oatmeal Stout,85419,"[('chocolate', 12), ('beer', 9), ('light', 8), ('black', 6), ('roasted', 6), ('brown', 6), ('dark', 5), ('coffee', 4), ('malty', 3), ('medium', 3)]"
129,Araucana Negra Bock,57965,"[('roasted', 7), ('beer', 5), ('caramel', 5), ('dark', 4), ('brown', 4), ('malty', 3), ('chocolate', 3), ('sweet', 3), ('medium', 3), ('amber', 3)]"
130,Del Castillo Stout Ahumada,67486,"[('beer', 6), ('smoked', 6), ('black', 5), ('roasted', 3), ('sweet', 3), ('caramel', 3), ('prunes', 2), ('coffee', 2), ('complex', 2), ('burnt', 2)]"
131,Juguetes Perdidos Monster Ale,522217,"[('sweet', 5), ('toffee', 4), ('fruity', 4), ('alcohol', 3), ('orange', 3), ('beer', 3), ('caramel', 3), ('full', 2), ('dark', 2), ('warming', 2)]"
132,Balameb Cinco Muescas,491105,"[('beer', 6), ('dark', 2), ('chocolate', 2), ('roast', 2), ('coffee', 1), ('red', 1), ('black', 1), ('ruby', 1), ('clear', 1), ('brown', 1)]"
133,Chiruzza Mulata,492890,"[('beer', 8), ('light', 3), ('dry', 3), ('bitter', 3), ('chocolate', 2), ('medium', 2), ('coffee', 1), ('red', 1), ('black', 1), ('roasted', 1)]"
134,Shopron,57174,"[('amber', 3), ('bitter', 3), ('hazy', 2), ('malty', 2), ('medium', 2), ('light', 2), ('copper', 1), ('red', 1), ('balanced', 1), ('sweet', 1)]"
135,Corsario Negro Redbitter,12712,"[('sweet', 8), ('medium', 7), ('bitter', 7), ('brown', 5), ('fruity', 5), ('dark', 4), ('light', 4), ('caramel', 4), ('malty', 3), ('clear', 3)]"
136,Araucana Rubia Extra Fuerte,54483,"[('sweet', 7), ('white', 5), ('alcoholic', 4), ('medium', 4), ('warming', 4), ('hazy', 3), ('malty', 3), ('alcohol', 3), ('orange', 3), ('light', 3)]"
137,Die Eisenbrucke Dubbel,161733,"[('chocolate', 2), ('brown', 2), ('beer', 2), ('spicy', 1), ('coffee', 1), ('malty', 1), ('sharp', 1), ('cloudy', 1)]"
138,La Blanca,509298,"[('gold', 1), ('hay', 1), ('grapefruit', 1)]"
139,Sixtofer Oatmeal Stout,162074,"[('roasted', 13), ('chocolate', 10), ('bitter', 8), ('brown', 6), ('dark', 5), ('coffee', 4), ('malty', 4), ('black', 4), ('sweet', 4), ('medium', 4)]"
140,Cardos Lager Pilsen,50850,"[('sweet', 7), ('medium', 7), ('white', 6), ('malty', 4), ('beer', 4), ('alcoholic', 4), ('dry', 4), ('dense', 3), ('rocky', 3), ('light', 3)]"
141,El Bolson Negra Ahumada,7166,"[('smoked', 8), ('black', 6), ('malty', 5), ('chocolate', 5), ('sweet', 4), ('beer', 4), ('light', 4), ('roasted', 3), ('coffee', 2), ('dark', 2)]"
142,Beagle Fuegian Stout (Negra),44267,"[('black', 10), ('coffee', 8), ('chocolate', 8), ('roasted', 5), ('brown', 4), ('beer', 4), ('alcohol', 3), ('light', 3), ('tan', 3), ('dark', 2)]"
143,Keusters Dubbel,374374,"[('dark', 1), ('alcohol', 1), ('brown', 1), ('sweet', 1), ('caramel', 1)]"
144,Dargett Coney Island,551631,"[('sweet', 3), ('amber', 3), ('clear', 2), ('spicy', 1), ('malty', 1), ('dark', 1), ('beer', 1), ('plum', 1), ('pine', 1), ('medium', 1)]"
145,Dargett The Catcher In The Wheat,567116,"[('beer', 2), ('fresh', 1), ('smooth', 1)]"
146,Academia Weizen,417634,"[('banana', 1), ('vanilla', 1), ('tart', 1), ('sweet', 1), ('fresh', 1), ('subtle', 1), ('creamy', 1), ('light', 1)]"
