,Unnamed: 0,name,score,beer style,abv,cal,city,country,link,lat,lon
799,799,Bruntys Pear,3.09,Perry,5.2,156.0,Phnom Penh,Cambodia,/beer/bruntys-pear/220589/,11.5626213,104.9237246
800,800,Cerevisia Irish Red Ale (Priteni),3.09,Irish Ale,5.4,162.0,Phnom Penh,Cambodia,/beer/cerevisia-irish-red-ale-priteni/334197/,11.5626213,104.9237246
801,801,Riel India Pale Ale,3.09,India Pale Ale (IPA),7.1,213.0,Phnom Penh,Cambodia,/beer/riel-india-pale-ale/515662/,11.5626213,104.9237246
802,802,Himawari OatS,3.07,Sweet Stout,6.5,195.0,Phnom Penh,Cambodia,/beer/himawari-oats/219581/,11.5626213,104.9237246
803,803,Gold Crown Stout,3.07,Foreign Stout,6.5,195.0,Phnom Penh,Cambodia,/beer/gold-crown-stout/395997/,11.5626213,104.9237246
804,804,Stone Head Coconut Cream Ale,3.07,Cream Ale,5.7,171.0,Koh Kong,Cambodia,/beer/stone-head-coconut-cream-ale/480978/,11.332274900000002,103.013792418012
805,805,Stone Head TKO DIPA,3.06,Imperial IPA,9.0,270.0,Koh Kong,Cambodia,/beer/stone-head-tko-dipa/483199/,11.332274900000002,103.013792418012
806,806,Cerevisia Mandarin American Pale Ale,3.03,American Pale Ale,5.7,171.0,Phnom Penh,Cambodia,/beer/cerevisia-mandarin-american-pale-ale/338817/,11.5626213,104.9237246
807,807,Kingdom Tommy Brown,3.02,Brown Ale,6.1,183.0,Phnom Penh,Cambodia,/beer/kingdom-tommy-brown/486469/,11.5626213,104.9237246
808,808,Barrley Black Extra Stout,3.02,Foreign Stout,8.0,240.0,Phnom Penh,Cambodia,/beer/barrley-black-extra-stout/533264/,11.5626213,104.9237246
809,809,Stone Head Smiling Evil,3.02,English Pale Ale,6.0,180.0,Koh Kong,Cambodia,/beer/stone-head-smiling-evil/541465/,11.332274900000002,103.013792418012
810,810,Cerevisia Amber Ale,3.02,Amber Ale,5.7,171.0,Phnom Penh,Cambodia,/beer/cerevisia-amber-ale/398662/,11.5626213,104.9237246
811,811,Black Panther Stout,3.01,Foreign Stout,8.0,240.0,Sihanoukville,Cambodia,/beer/black-panther-stout/41375/,10.5045515,103.257841142855
812,812,Stone Head Seven Days,3.01,Witbier,5.7,171.0,Koh Kong,Cambodia,/beer/stone-head-seven-days/453550/,11.332274900000002,103.013792418012
814,814,Stone Head Butterfly Pea Wheat,2.98,Witbier,6.0,180.0,Koh Kong,Cambodia,/beer/stone-head-butterfly-pea-wheat/455939/,11.332274900000002,103.013792418012
815,815,Himawari Gem & Jade,2.98,Golden Ale/Blond Ale,5.0,150.0,Phnom Penh,Cambodia,/beer/himawari-gem-jade/215280/,11.5626213,104.9237246
816,816,Siem Reap Blonde Ale,2.98,Golden Ale/Blond Ale,4.5,135.0,Siem Reap,Cambodia,/beer/siem-reap-blonde-ale/364597/,13.3586258,103.8610377
817,817,Himawari New Year's Lager,2.98,Premium Lager,5.5,165.0,Phnom Penh,Cambodia,/beer/himawari-new-years-lager/388994/,11.5626213,104.9237246
818,818,Cerevisia Farm House Ale,2.98,Saison,5.5,165.0,Phnom Penh,Cambodia,/beer/cerevisia-farm-house-ale/487233/,11.5626213,104.9237246
819,819,Cerevisia Rattanak ESB,2.98,Premium Bitter/ESB,5.7,171.0,Phnom Penh,Cambodia,/beer/cerevisia-rattanak-esb/487239/,11.5626213,104.9237246
820,820,Kingdom Liger,2.97,Dunkel/Tmavý,5.9,177.0,Phnom Penh,Cambodia,/beer/kingdom-liger/428498/,11.5626213,104.9237246
821,821,Cerevisia Catcher Rye Ale,2.96,Specialty Grain,5.1,153.0,Phnom Penh,Cambodia,/beer/cerevisia-catcher-rye-ale/398660/,11.5626213,104.9237246
822,822,Hops Gold Angel,2.95,Premium Lager,4.8,144.0,Phnom Penh,Cambodia,/beer/hops-gold-angel/465771/,11.5626213,104.9237246
823,823,Hops Red Fury,2.95,American Strong Ale,7.8,234.0,Phnom Penh,Cambodia,/beer/hops-red-fury/465769/,11.5626213,104.9237246
825,825,Stone Head Red Bus Amber,2.94,Amber Ale,5.5,165.0,Koh Kong,Cambodia,/beer/stone-head-red-bus-amber/535216/,11.332274900000002,103.013792418012
826,826,Black Cat Extra Stout,2.94,Foreign Stout,8.0,240.0,Phnom Penh,Cambodia,/beer/black-cat-extra-stout/395279/,11.5626213,104.9237246
829,829,Stone Head Lemongrass Kolsch,2.93,Kölsch,5.5,165.0,Koh Kong,Cambodia,/beer/stone-head-lemongrass-kolsch/480646/,11.332274900000002,103.013792418012
830,830,Kingdom Allemand Pilsner,2.92,Pilsener,5.0,150.0,Phnom Penh,Cambodia,/beer/kingdom-allemand-pilsner/558020/,11.5626213,104.9237246
831,831,Hops IPA,2.91,India Pale Ale (IPA),6.8,204.0,Phnom Penh,Cambodia,/beer/hops-ipa/465772/,11.5626213,104.9237246
832,832,Man Han Lou Black,2.91,Stout,6.0,180.0,Phnom Penh,Cambodia,/beer/man-han-lou-black/105938/,11.5626213,104.9237246
833,833,Bruntys Apple,2.9,Cider,4.5,135.0,Phnom Penh,Cambodia,/beer/bruntys-apple/220588/,11.5626213,104.9237246
834,834,Himawari CentenniALE,2.89,India Pale Ale (IPA),6.5,195.0,Phnom Penh,Cambodia,/beer/himawari-centenniale/255985/,11.5626213,104.9237246
836,836,Munich Beer Restaurant Stout,2.87,Stout,4.0,120.0,Phnom Penh,Cambodia,/beer/munich-beer-restaurant-stout/105940/,11.5626213,104.9237246
837,837,Angkor Extra Stout,2.86,Foreign Stout,8.0,240.0,Sihanoukville,Cambodia,/beer/angkor-extra-stout/6413/,10.5045515,103.257841142855
838,838,Harp (Cameroon),2.85,Premium Lager,5.0,150.0,Douala,Cameroon,/beer/harp-cameroon/458606/,4.0537386,9.6644365792336
840,840,Beaufort Light (Cameroon),2.59,Low Alcohol,3.8,114.0,Douala,Cameroon,/beer/beaufort-light-cameroon/275436/,4.0537386,9.6644365792336
841,841,Beaufort 8.9,2.55,Imperial Pils/Strong Pale Lager,8.9,267.0,Douala,Cameroon,/beer/beaufort-89/103035/,4.0537386,9.6644365792336
842,842,Mützig (Cameroon),2.42,Pale Lager,5.4,162.0,Douala,Cameroon,/beer/mutzig-cameroon/23341/,4.0537386,9.6644365792336
843,843,Beaufort (Cameroon),2.32,Pale Lager,4.6,138.0,Douala,Cameroon,/beer/beaufort-cameroon/13238/,4.0537386,9.6644365792336
844,844,Kadji Beer Blonde,2.3,Pale Lager,5.0,150.0,Douala,Cameroon,/beer/kadji-beer-blonde/204046/,4.0537386,9.6644365792336
845,845,33 Export (Cameroon),2.21,Pale Lager,5.0,150.0,Douala,Cameroon,/beer/33-export-cameroon/220696/,4.0537386,9.6644365792336
846,846,Isenbeck Premium (Cameroon),2.15,Czech Pilsner (Světlý),5.2,156.0,Douala,Cameroon,/beer/isenbeck-premium-cameroon/180262/,4.0537386,9.6644365792336
847,847,Castel Beer (Cameroon),1.93,Pale Lager,5.2,156.0,Douala,Cameroon,/beer/castel-beer-cameroon/38845/,4.0537386,9.6644365792336
849,849,La Face Cachée de la Pomme Neige Récolte D'Hiver,4.32,Ice Cider/Ice Perry,8.0,240.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-recolte-dhiver/125813/,45.0474377,-73.5863187
850,850,La Face Cachée de la Pomme Neige Réserve,4.23,Ice Cider/Ice Perry,11.0,330.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-reserve/125814/,45.0474377,-73.5863187
851,851,Dieu du Ciel Péché Mortel Bourbon,4.19,Imperial Stout,9.5,285.0,Montreal,Canada,/beer/dieu-du-ciel-peche-mortel-bourbon/104410/,45.4972159,-73.61036419999999
853,853,La Face Cachée de la Pomme Neige Première,4.14,Ice Cider/Ice Perry,13.0,390.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-premiere/125815/,45.0474377,-73.5863187
854,854,Auval Nordet IPA,4.1,India Pale Ale (IPA),6.0,180.0,Val d’Espoir,Canada,/beer/auval-nordet-ipa/434685/,48.5133352,-64.40132410000001
855,855,Cidrerie du Minot des Glaces Récolte d'Hiver,4.09,Ice Cider/Ice Perry,11.0,330.0,Hemmingford,Canada,/beer/cidrerie-du-minot-des-glaces-recolte-dhiver/211977/,45.0474377,-73.5863187
856,856,Les Trois Mousquetaires G.C. Porter Baltique (Bourbon & Brandy),4.07,Baltic Porter,10.5,315.0,Brossard,Canada,/beer/les-trois-mousquetaires-gc-porter-baltique-bourbon-brandy/230352/,45.4554829,-73.46789040000002
857,857,Auval Ribes Nigrum (Cassis),4.06,Sour/Wild Ale,5.7,171.0,Val d’Espoir,Canada,/beer/auval-ribes-nigrum-cassis/471600/,48.5133352,-64.40132410000001
858,858,Auval Super A Double IPA,4.06,Imperial IPA,8.0,240.0,Val d’Espoir,Canada,/beer/auval-super-a-double-ipa/384097/,48.5133352,-64.40132410000001
859,859,La Face Cachée de la Pomme,4.06,Ice Cider/Ice Perry,12.0,360.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-inspiration-2005/83665/,45.0474377,-73.5863187
860,860,Clos Saint-Denis Fine Pomme de Glace,4.06,Ice Cider/Ice Perry,11.0,330.0,Saint-Denis-sur-Richelieu,Canada,/beer/clos-saint-denis-fine-pomme-de-glace/57719/,45.7861328,-73.1571717
861,861,Domaine Pinnacle Signature Réserve Speciale,4.06,Ice Cider/Ice Perry,12.2,366.0,Frelighsburg,Canada,/beer/domaine-pinnacle-signature-reserve-speciale/35276/,45.056061,-72.836609
862,862,Clos Saragnat L'Original,4.05,Ice Cider/Ice Perry,10.0,300.0,Frelighsburg,Canada,/beer/clos-saragnat-loriginal/55980/,45.056061,-72.836609
863,863,La Face Cachée de la Pomme Neige Méthode Traditionnelle,4.04,Ice Cider/Ice Perry,12.5,375.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-methode-traditionnelle/139133/,45.0474377,-73.5863187
864,864,Dieu du Ciel Aphrodisiaque,4.04,Stout,6.5,195.0,Montreal,Canada,/beer/dieu-du-ciel-aphrodisiaque/24350/,45.4972159,-73.61036419999999
865,865,Dieu du Ciel Péché Mortel Brandy/Cognac,4.04,Imperial Stout,9.5,285.0,Montreal,Canada,/beer/dieu-du-ciel-peche-mortel-brandy-cognac/392478/,45.4972159,-73.61036419999999
866,866,Les Vergers Lafrance Bouquet sur Glace,4.04,Ice Cider/Ice Perry,10.0,300.0,Saint-Joseph-du-lac,Canada,/beer/les-vergers-lafrance-bouquet-sur-glace/59144/,45.5334441,-74.00603559999999
867,867,Maltstrom I.X.P.L. des Prairies,4.03,India Style Lager,6.0,180.0,Notre-Dame-des-Prairies,Canada,/beer/maltstrom-ixpl-des-prairies/461169/,46.051076,-73.42334699999999
868,868,Dieu du Ciel Péché Mortel Édition Spéciale 2016 - 2017,4.02,Imperial Stout,9.9,297.0,Montreal,Canada,/beer/dieu-du-ciel-peche-mortel-edition-speciale-2016-2017/398026/,45.4972159,-73.61036419999999
869,869,Archibald Orchards Spiced Winter Apple,4.02,Ice Cider/Ice Perry,11.6,348.0,Bowmanville,Canada,/beer/archibald-orchards-spiced-winter-apple/86384/,43.910755,-78.680305
870,870,Boréale Épisode 4 - IPA du Nord-Est,4.02,India Pale Ale (IPA),6.0,180.0,Blainville,Canada,/beer/boreale-episode-4-ipa-du-nord-est/475183/,45.679320000000004,-73.87619000000001
871,871,Charlevoix Dominus Vobiscum Lupulus,4.01,Belgian Strong Ale,10.0,300.0,Baie-St-Paul,Canada,/beer/charlevoix-dominus-vobiscum-lupulus/82225/,47.444342999999996,-70.505447
872,872,Clos Saragnat Avalanche,4.01,Ice Cider/Ice Perry,9.6,288.0,Frelighsburg,Canada,/beer/clos-saragnat-avalanche/138892/,45.056061,-72.836609
873,873,La Face Cachée de la Pomme,3.99,Ice Cider/Ice Perry,12.0,360.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-sur-lie/125818/,45.0474377,-73.5863187
874,874,St-Ambroise Stout Impériale Russe,3.99,Imperial Stout,9.2,276.0,Montreal,Canada,/beer/st-ambroise-stout-imperiale-russe/114499/,45.4972159,-73.61036419999999
875,875,Half Pints Brewing Co.,3.98,Imperial Stout,11.3,339.0,Winnipeg,Canada,/beer/half-pints-le-temps-noir/178579/,49.884017,-97.16857900000001
876,876,Les Trois Mousquetaires G.C. Déjeuner Impérial,3.98,Imperial Stout,11.5,345.0,Brossard,Canada,/beer/les-trois-mousquetaires-gc-dejeuner-imperial/456064/,45.4554829,-73.46789040000002
877,877,Dunham / Kissmeyer Leo's Early Breakfast IPA (Vin Blanc),3.97,India Pale Ale (IPA),6.5,195.0,Dunham,Canada,/beer/dunham-kissmeyer-leos-early-breakfast-ipa-vin-blanc/304032/,45.130469,-72.800903
878,878,Dieu du Ciel Grande Noirceur,3.97,Imperial Stout,9.0,270.0,Montreal,Canada,/beer/dieu-du-ciel-grande-noirceur/32215/,45.4972159,-73.61036419999999
879,879,La Face Cachée de la Pomme Neige Cuvée Château Frontenac,3.96,Ice Cider/Ice Perry,12.5,375.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-cuvee-chateau-frontenac/269156/,45.0474377,-73.5863187
881,881,Michel Jodoin Cidre de Glace Rosé,3.96,Ice Cider/Ice Perry,8.0,240.0,Rougemont,Canada,/beer/michel-jodoin-cidre-de-glace-rose/108698/,45.447365999999995,-73.06354499999999
882,882,Auval Arcane 17 IPA,3.96,India Pale Ale (IPA),5.2,156.0,Val d’Espoir,Canada,/beer/auval-arcane-17-ipa/354418/,48.5133352,-64.40132410000001
883,883,Le Castor Yakima IPA,3.96,India Pale Ale (IPA),6.5,195.0,Rigaud,Canada,/beer/le-castor-yakima-ipa/208825/,45.479873,-74.30190999999999
884,884,Four Winds Nectarous,3.95,Sour/Wild Ale,5.5,165.0,Delta,Canada,/beer/four-winds-nectarous/254840/,49.0846258,-123.05793840000001
885,885,Dieu du Ciel Solstice d'Hiver Réserve Spéciale (Oak Aged - Bourbon),3.95,Barley Wine,10.8,324.0,Montreal,Canada,/beer/dieu-du-ciel-solstice-dhiver-reserve-speciale-oak-aged-bourbon/117462/,45.4972159,-73.61036419999999
886,886,Dunham Saison du Pinacle Réserve,3.95,Saison,6.5,195.0,Dunham,Canada,/beer/dunham-saison-du-pinacle-reserve/292833/,45.130469,-72.800903
887,887,Le Bilboquet MacKroken Flower (vieillie en fût de bourbon),3.95,Scotch Ale,10.8,324.0,Saint-Hyacinthe,Canada,/beer/le-bilboquet-mackroken-flower-vieillie-en-fut-de-bourbon/247509/,45.627484,-72.940636
888,888,Dunham Saison Cassis Réserve Extra,3.95,Sour/Wild Ale,7.0,210.0,Dunham,Canada,/beer/dunham-saison-cassis-reserve-extra/331249/,45.130469,-72.800903
889,889,Domaine des Salamandres Poiré de Glace,3.94,Ice Cider/Ice Perry,11.5,345.0,Hemmingford,Canada,/beer/domaine-des-salamandres-poire-de-glace/120049/,45.0474377,-73.5863187
890,890,La Face Cachée de la Pomme Neige Noir,3.94,Ice Cider/Ice Perry,20.0,600.0,Hemmingford,Canada,/beer/la-face-cachee-de-la-pomme-neige-noir/197330/,45.0474377,-73.5863187
891,891,Unibroue Trois Pistoles,3.94,Abt/Quadrupel,9.0,270.0,Chambly,Canada,/beer/unibroue-trois-pistoles/1926/,45.4474005,-73.2903166
892,892,Le Trou du Diable (MolsonCoors),3.94,Sour/Wild Ale,7.3,219.0,Shawinigan,Canada,/beer/le-trou-du-diable-la-bretteuse-brassin-special-fut-de-syrah/198721/,46.5389609,-72.7467621
893,893,Les Trois Mousquetaires G.C. Porter Baltique,3.94,Baltic Porter,10.0,300.0,Brossard,Canada,/beer/les-trois-mousquetaires-gc-porter-baltique/80785/,45.4554829,-73.46789040000002
894,894,Bellwoods Skeleton Key,3.94,Imperial Stout,13.0,390.0,Toronto,Canada,/beer/bellwoods-skeleton-key/293635/,43.653963,-79.38720699999999
895,895,Bedondaine et Bedons Ronds Reyne Descosse,3.93,Scotch Ale,8.5,255.0,Chambly,Canada,/beer/bedondaine-et-bedons-ronds-reyne-descosse/55951/,45.4474005,-73.2903166
896,896,Dieu du Ciel / The Alchemist Moralité,3.93,India Pale Ale (IPA),6.9,207.0,Montreal,Canada,/beer/dieu-du-ciel-the-alchemist-moralite/176058/,45.4972159,-73.61036419999999
897,897,St-Ambroise Oatmeal Stout,3.92,Stout,5.0,150.0,Montreal,Canada,/beer/st-ambroise-oatmeal-stout/839/,45.4972159,-73.61036419999999
898,898,Pit Caribou Neuvain,3.92,Sour/Wild Ale,4.5,135.0,L’Anse-à-Beaufils,Canada,/beer/pit-caribou-neuvain/501959/,48.4744463,-64.3086166
899,899,Strela Preta,2.58,Dunkel/Tmavý,5.4,162.0,Praia,Cape Verde Islands,/beer/strela-preta/144350/,16.05294685,-22.9607803531804
900,900,Strela Kriola,2.28,Pilsener,5.0,150.0,Praia,Cape Verde Islands,/beer/strela-kriola/302469/,16.05294685,-22.9607803531804
901,901,Strela Ego,2.15,Malt Liquor,8.0,240.0,Praia,Cape Verde Islands,/beer/strela-ego/144329/,16.05294685,-22.9607803531804
902,902,Strela,1.97,Pale Lager,5.6,168.0,Praia,Cape Verde Islands,/beer/strela/69490/,16.05294685,-22.9607803531804
903,903,CERIS - Sociedade Caboverdiana de Cerveja e Refrigerantes S.A.R.,1.69,Pale Lager,5.2,156.0,Praia,Cape Verde Islands,/beer/coral-cape-verde/60566/,16.05294685,-22.9607803531804
904,904,345 Stout,3.36,Foreign Stout,7.5,225.0,George Town,Cayman Islands,/beer/345-stout/264293/,19.2953549,-81.3807776
905,905,Stingray Brewery,3.18,Dunkler Bock,6.0,180.0,Prospect Grand Cayman Island,Cayman Islands,/beer/stingray-dark/13344/,,
906,906,Ironshore Bock,2.95,Dunkler Bock,7.0,210.0,George Town,Cayman Islands,/beer/ironshore-bock/131265/,19.2953549,-81.3807776
909,909,CIB Twisted Citrus,2.83,Fruit Beer,5.0,150.0,George Town,Cayman Islands,/beer/cib-twisted-citrus/242076/,19.2953549,-81.3807776
910,910,CIB Mango Tango,2.77,Fruit Beer,5.0,150.0,George Town,Cayman Islands,/beer/cib-mango-tango/424112/,19.2953549,-81.3807776
913,913,Pirates Gold,2.62,Pale Lager,4.5,135.0,George Town,Cayman Islands,/beer/pirates-gold/245319/,19.2953549,-81.3807776
914,914,White Tip Lager,2.6,Premium Lager,5.2,156.0,George Town,Cayman Islands,/beer/white-tip-lager/158994/,19.2953549,-81.3807776
915,915,Stingray Brewery,2.58,Pale Lager,,,Prospect Grand Cayman Island,Cayman Islands,/beer/stingray-light/55718/,,
917,917,345 Lager,2.33,Pale Lager,4.5,135.0,George Town,Cayman Islands,/beer/345-lager/250844/,19.2953549,-81.3807776
918,918,CayLight,2.31,Pale Lager,3.5,105.0,George Town,Cayman Islands,/beer/caylight/132973/,19.2953549,-81.3807776
919,919,Stingray Brewery,2.29,Pale Lager,,,Prospect Grand Cayman Island,Cayman Islands,/beer/stingray-beer/1450/,,
920,920,Caybrew,2.29,Pale Lager,5.0,150.0,George Town,Cayman Islands,/beer/caybrew/72873/,19.2953549,-81.3807776
922,922,Brasserie Motte Cordonnier Afrique (MOCAF) (BGI),2.47,Stout,6.5,195.0,Bangui,Central African Republic,/beer/pelforth-stout/542011/,4.3907153,18.5509126
923,923,Castel Beer (Central African Republic),2.29,Pale Lager,5.2,156.0,Bangui,Central African Republic,/beer/castel-beer-central-african-republic/542007/,4.3907153,18.5509126
924,924,Mocaf Export,1.94,Pale Lager,4.5,135.0,Bangui,Central African Republic,/beer/mocaf-export/78437/,4.3907153,18.5509126
925,925,33 Export (Central Africa),1.86,Pale Lager,5.0,150.0,Bangui,Central African Republic,/beer/33-export-central-africa/100549/,4.3907153,18.5509126
926,926,33 Export (Chad),2.27,Pale Lager,5.0,150.0,N’Djamena,Chad,/beer/33-export-chad/260620/,12.1191543,15.0502758
927,927,Chari,2.03,Pale Lager,3.8,114.0,N’Djamena,Chad,/beer/chari/90028/,12.1191543,15.0502758
928,928,Gala,1.89,Pale Lager,4.9,147.0,N’Djamena,Chad,/beer/gala/23342/,12.1191543,15.0502758
929,929,Szot Microbrewery,3.69,Barley Wine,12.0,360.0,Santiago,Chile,/beer/szot-strong-ale-12/65193/,-33.4377968,-70.65044509999998
930,930,Granizo Tue-Tue Imperial Black IPA,3.6,Black IPA,10.5,315.0,Olmue,Chile,/beer/granizo-tue-tue-imperial-black-ipa/230094/,-34.971180700000005,-71.22962340000001
931,931,Cuello Negro Stout,3.51,Foreign Stout,8.0,240.0,Valdivia,Chile,/beer/cuello-negro-stout/206124/,-39.8141965,-73.2458525
932,932,Szot Colaborativa #4 Imperial Brown Ale,3.48,Brown Ale,10.5,315.0,Santiago,Chile,/beer/szot-colaborativa-4-imperial-brown-ale/455528/,-33.4377968,-70.65044509999998
933,933,Kross 5,3.48,English Strong Ale,7.2,216.0,Curacaví,Chile,/beer/kross-5/103764/,-33.4022289,-71.1293733
934,934,Kross Kuad,3.46,Abt/Quadrupel,9.2,276.0,Curacaví,Chile,/beer/kross-kuad/344978/,-33.4022289,-71.1293733
935,935,Ruberg Russian Imperial Stout,3.45,Imperial Stout,9.0,270.0,Quilpue,Chile,/beer/ruberg-russian-imperial-stout/195329/,-33.0498135,-71.44152820000001
936,936,Szot Negra Stout,3.42,Stout,5.0,150.0,Santiago,Chile,/beer/szot-negra-stout/65191/,-33.4377968,-70.65044509999998
937,937,Granizo Gran IPA,3.42,Imperial IPA,7.5,225.0,Olmue,Chile,/beer/granizo-gran-ipa/356949/,-34.971180700000005,-71.22962340000001
938,938,Quimera Imperial Stout,3.4,Imperial Stout,8.2,246.0,Quinta Normal Santiago,Chile,/beer/quimera-imperial-stout/133883/,-33.42810375,-70.6998124843289
939,939,Kross Stout,3.39,Stout,5.4,162.0,Curacaví,Chile,/beer/kross-stout/73561/,-33.4022289,-71.1293733
940,940,Granizo IRA! (Indian Red Ale),3.38,India Pale Ale (IPA),7.0,210.0,Olmue,Chile,/beer/granizo-ira-indian-red-ale/230084/,-34.971180700000005,-71.22962340000001
941,941,Rothhammer Rebel Imperial Pilsner,3.35,Imperial Pils/Strong Pale Lager,9.0,270.0,Lo Boza Pudahuel Santiago,Chile,/beer/rothhammer-rebel-imperial-pilsner/198059/,-33.3836706,-70.7620931401517
942,942,Spoh Animal IPA,3.34,Imperial IPA,7.5,225.0,Santiago,Chile,/beer/spoh-animal-ipa/314610/,-33.4377968,-70.65044509999998
943,943,Granizo Imperial Stout,3.33,Imperial Stout,8.0,240.0,Olmue,Chile,/beer/granizo-imperial-stout/230105/,-34.971180700000005,-71.22962340000001
944,944,Tübinger Hoppiness  IPA,3.33,India Pale Ale (IPA),6.0,180.0,Valdivia de Paine,Chile,/beer/tubinger-hoppiness-ipa/434564/,-33.805606899999994,-70.8581482
945,945,Capital Indian Pale Ale,3.32,India Pale Ale (IPA),7.0,210.0,Santiago,Chile,/beer/capital-indian-pale-ale/113557/,-33.4377968,-70.65044509999998
946,946,Jester Luptopia West Coast Imperial IPA,3.32,Imperial IPA,9.0,270.0,Santiago,Chile,/beer/jester-luptopia-west-coast-imperial-ipa/314604/,-33.4377968,-70.65044509999998
947,947,Szot Stout Fuerte,3.31,Imperial Stout,7.5,225.0,Santiago,Chile,/beer/szot-stout-fuerte/83751/,-33.4377968,-70.65044509999998
948,948,Kunstmann Gran Torobayo,3.3,Doppelbock,7.5,225.0,Valdivia,Chile,/beer/kunstmann-gran-torobayo/68206/,-39.8141965,-73.2458525
949,949,Rothhammer Epic Barley Wine,3.29,Barley Wine,9.0,270.0,Lo Boza Pudahuel Santiago,Chile,/beer/rothhammer-epic-barley-wine/159262/,-33.3836706,-70.7620931401517
950,950,Quimera Barley Wine,3.28,Barley Wine,9.5,285.0,Quinta Normal Santiago,Chile,/beer/quimera-barley-wine/260381/,-33.42810375,-70.6998124843289
951,951,Jester Manitoba American Pale Ale,3.27,American Pale Ale,5.2,156.0,Santiago,Chile,/beer/jester-manitoba-american-pale-ale/233886/,-33.4377968,-70.65044509999998
952,952,Tübinger Tübinator,3.26,English Strong Ale,8.0,240.0,Valdivia de Paine,Chile,/beer/tubinger-tubinator/73314/,-33.805606899999994,-70.8581482
953,953,Rothhammer Brutal Hops IPA,3.25,India Pale Ale (IPA),7.2,216.0,Lo Boza Pudahuel Santiago,Chile,/beer/rothhammer-brutal-hops-ipa/158347/,-33.3836706,-70.7620931401517
954,954,Rothhammer Loud Oak Stout,3.25,Stout,5.3,159.0,Lo Boza Pudahuel Santiago,Chile,/beer/rothhammer-loud-oak-stout/159265/,-33.3836706,-70.7620931401517
955,955,Granizo Bohemian Lager,3.25,Czech Pilsner (Světlý),5.0,150.0,Olmue,Chile,/beer/granizo-bohemian-lager/230103/,-34.971180700000005,-71.22962340000001
956,956,Cerveza Grassau Bock,3.25,Dunkler Bock,7.0,210.0,Temuco,Chile,/beer/cerveza-grassau-bock/132626/,-38.7362442,-72.5905979
957,957,Kross IPA,3.25,India Pale Ale (IPA),6.5,195.0,Curacaví,Chile,/beer/kross-ipa/360027/,-33.4022289,-71.1293733
958,958,Guayacán Stout,3.25,Stout,6.0,180.0,Diaguitas Vicuña Valle del Elqui,Chile,/beer/guayacan-stout/197504/,,
959,959,Nomade Blonde Ale,3.23,Golden Ale/Blond Ale,4.5,135.0,Santiago,Chile,/beer/nomade-blonde-ale/196690/,-33.4377968,-70.65044509999998
960,960,Jester Cosmonauta Russian Imperial Stout,3.23,Imperial Stout,9.5,285.0,Santiago,Chile,/beer/jester-cosmonauta-russian-imperial-stout/314601/,-33.4377968,-70.65044509999998
961,961,Del Puerto Barba Negra Robust Porter,3.22,Porter,5.0,150.0,Valparaiso,Chile,/beer/del-puerto-barba-negra-robust-porter/96400/,-33.0458456,-71.6196749
962,962,Quimera Amber Ale,3.21,Amber Ale,5.7,171.0,Quinta Normal Santiago,Chile,/beer/quimera-amber-ale/80269/,-33.42810375,-70.6998124843289
963,963,Siraku Amber Ale,3.21,Amber Ale,6.5,195.0,Santiago,Chile,/beer/siraku-amber-ale/73325/,-33.4377968,-70.65044509999998
964,964,Mestiza Deutsches Alt Bier,3.21,Altbier,5.3,159.0,Valparaiso,Chile,/beer/mestiza-deutsches-alt-bier/199079/,-33.0458456,-71.6196749
965,965,Cuello Negro Ámbar,3.21,Golden Ale/Blond Ale,5.8,174.0,Valdivia,Chile,/beer/cuello-negro-ambar/206127/,-39.8141965,-73.2458525
966,966,Altamira Pale Ale,3.21,American Pale Ale,5.0,150.0,Valparaiso,Chile,/beer/altamira-pale-ale/173592/,-33.0458456,-71.6196749
967,967,Kross / Evil Twin Huesillos Saison,3.21,Saison,6.5,195.0,Curacaví,Chile,/beer/kross-evil-twin-huesillos-saison/378958/,-33.4022289,-71.1293733
968,968,Kross 110 Minutos,3.21,Scotch Ale,8.5,255.0,Curacaví,Chile,/beer/kross-110-minutos/163814/,-33.4022289,-71.1293733
969,969,Altamira Stout,3.21,Stout,6.2,186.0,Valparaiso,Chile,/beer/altamira-stout/160142/,-33.0458456,-71.6196749
970,970,Del Puerto Dunkel Weisen,3.21,Dunkelweizen,6.0,180.0,Valparaiso,Chile,/beer/del-puerto-dunkel-weisen/159767/,-33.0458456,-71.6196749
971,971,Kross,3.21,Belgian Strong Ale,9.2,276.0,Curacaví,Chile,/beer/kross-grand-cru/189568/,-33.4022289,-71.1293733
972,972,Szot Stout,3.19,Stout,5.8,174.0,Santiago,Chile,/beer/szot-stout/406853/,-33.4377968,-70.65044509999998
973,973,Kudell Oktopus Ink. Black IPA,3.19,Black IPA,8.0,240.0,Santiago,Chile,/beer/kudell-oktopus-ink-black-ipa/418027/,-33.4377968,-70.65044509999998
