,name,id,most_freq
74,Alpha El Testament Del Llop,481027,"[('tobacco', 3), ('malty', 2), ('orange', 2), ('medium', 2), ('caramel', 2), ('hazy', 2), ('tart', 2), ('pine', 2), ('smoked', 1), ('white', 1)]"
75,Alpha Roure (Especial Lager),179235,"[('light', 8), ('medium', 6), ('dry', 5), ('amber', 4), ('caramel', 4), ('white', 3), ('hazy', 3), ('sweet', 2), ('fresh', 2), ('grass', 2)]"
76,La Birreria Trapella Doggy Queen,553019,"[('light', 8), ('sweet', 6), ('medium', 6), ('bitter', 5), ('white', 4), ('grass', 4), ('malty', 3), ('clear', 3), ('grainy', 2), ('frothy', 2)]"
77,Alpha Roure Pale Ale,194852,"[('sweet', 1), ('buttery', 1), ('white', 1), ('orange', 1), ('medium', 1), ('hazy', 1), ('lemon', 1), ('vinegar', 1)]"
78,Alpha Andorbock Fumat,196132,"[('smoked', 5), ('caramel', 3), ('burnt', 2), ('light', 2), ('opaque', 1), ('white', 1), ('alcohol', 1), ('orange', 1)]"
79,Cerveses Alpha La Dama Blanca,481032,"[('light', 11), ('sweet', 9), ('medium', 6), ('fruity', 6), ('bitter', 5), ('caramel', 4), ('hazy', 4), ('white', 3), ('malty', 3), ('oily', 3)]"
80,La Birreria Trapella Scrum,555633,"[('light', 10), ('sweet', 5), ('bitter', 5), ('white', 4), ('medium', 4), ('malty', 2), ('clear', 2), ('large', 1), ('creamy', 1), ('orange', 1)]"
81,Alpha Full Fusion,276147,"[('red', 7), ('sweet', 6), ('white', 5), ('hazy', 5), ('light', 5), ('bitter', 3), ('cloudy', 2), ('clear', 2), ('opaque', 1), ('medium', 1)]"
82,Alpha La Farga,194851,"[('smoked', 2), ('sweet', 1), ('caramel', 1), ('earthy', 1), ('bready', 1), ('brown', 1)]"
83,Alpha Monjo Boig,168447,"[('white', 5), ('cloudy', 3), ('hazy', 3), ('fruity', 3), ('light', 3), ('sweet', 2), ('orange', 2), ('apricot', 2), ('grainy', 1), ('medium', 1)]"
84,La Birreria Trapella Ginger Beard,553044,"[('sweet', 7), ('caramel', 6), ('amber', 5), ('light', 4), ('malty', 3), ('bitter', 3), ('clear', 2), ('medium', 2), ('spicy', 2), ('white', 1)]"
85,Cerveses Alpha,164176,"[('hazy', 6), ('amber', 5), ('caramel', 5), ('light', 3), ('white', 2), ('deep', 2), ('sweet', 1), ('copper', 1), ('peach', 1), ('balanced', 1)]"
86,Cerveses Alpha,177830,"[('light', 6), ('hazy', 5), ('medium', 4), ('caramel', 3), ('tart', 3), ('sweet', 2), ('smoked', 2), ('amber', 2), ('roasted', 2), ('fruity', 2)]"
87,Alpha Crepuscle,177235,"[('roasted', 11), ('black', 7), ('coffee', 7), ('dark', 5), ('chocolate', 5), ('brown', 4), ('light', 3), ('plum', 2), ('bitter', 2), ('vinegar', 2)]"
88,Alpha Eagle,222282,"[('fresh', 5), ('white', 4), ('dry', 4), ('cloudy', 3), ('orange', 3), ('burnt', 2), ('medium', 2), ('light', 2), ('dark', 1), ('lemon', 1)]"
89,Alpha El Barranc Dels Dimonis,553040,"[('sweet', 7), ('red', 6), ('medium', 5), ('white', 4), ('light', 4), ('clear', 3), ('bitter', 3), ('malty', 2), ('frothy', 2), ('black', 1)]"
90,Cerveses Alpha,154459,"[('white', 8), ('light', 7), ('hazy', 5), ('fruity', 5), ('mild', 4), ('vinegar', 4), ('medium', 3), ('sweet', 2), ('cloudy', 2), ('malty', 2)]"
91,N´gola Cerveja Superior,148374,"[('malty', 2), ('white', 1), ('creamy', 1), ('straw', 1), ('bitter', 1), ('light', 1)]"
92,Nocal Cerveja Internacional,14078,"[('sweet', 9), ('malty', 7), ('white', 6), ('light', 5), ('clear', 4), ('bitter', 3), ('caramel', 2), ('toast', 2), ('grass', 2), ('dry', 2)]"
93,Eka,70816,"[('white', 7), ('clear', 6), ('light', 6), ('sweet', 5), ('medium', 4), ('grainy', 3), ('malty', 2), ('straw', 2), ('frothy', 1), ('bitter', 1)]"
94,Nova Cuca,59433,"[('white', 5), ('malty', 3), ('clear', 3), ('medium', 2), ('metallic', 2), ('light', 2), ('sweet', 1), ('grainy', 1), ('creamy', 1), ('bread', 1)]"
95,Antigua Brewery (Royal Unibrew),7979,"[('light', 9), ('white', 4), ('sweet', 3), ('grainy', 2), ('clear', 2), ('metallic', 2), ('bitter', 2), ('hot', 1), ('gold', 1), ('hay', 1)]"
96,Antigua Brewery (Royal Unibrew),103599,"[('sweet', 8), ('white', 5), ('clear', 4), ('light', 4), ('grainy', 2), ('malty', 2), ('medium', 2), ('mild', 2), ('dark', 2), ('gold', 2)]"
97,Juguetes Perdidos Baltic Porter Cognac Barrel Aged,521949,"[('sweet', 4), ('chocolate', 4), ('roast', 3), ('black', 2), ('alcohol', 2), ('roasted', 2), ('smoked', 1), ('malty', 1), ('creamy', 1), ('clear', 1)]"
98,Araucana Rojiza Fuerte,82421,"[('amber', 5), ('caramel', 5), ('sweet', 4), ('alcohol', 4), ('cloudy', 3), ('fruity', 3), ('dry', 3), ('malty', 2), ('mild', 2), ('full', 2)]"
99,Juguetes Perdidos Imperial Porter Barrel Aged with Dried Sour Cherries,522012,"[('alcohol', 4), ('sweet', 3), ('vanilla', 3), ('black', 2), ('caramel', 2), ('roasted', 2), ('dark', 2), ('red', 2), ('chocolate', 2), ('figs', 1)]"
100,Shopron,55731,"[('chocolate', 4), ('bitter', 4), ('dark', 3), ('sweet', 2), ('black', 2), ('medium', 2), ('coffee', 2), ('brown', 2), ('malty', 1), ('clear', 1)]"
101,Murray's IPA,57964,"[('caramel', 4), ('white', 2), ('malty', 2), ('medium', 2), ('spicy', 2), ('sweet', 1), ('large', 1), ('complex', 1), ('creamy', 1), ('alcohol', 1)]"
102,Juguetes Perdidos Imperial Saison Chardonay Barrel,522225,"[('sweet', 7), ('caramel', 5), ('white', 2), ('orange', 2), ('bitter', 2), ('creamy', 1), ('amber', 1), ('clear', 1), ('medium', 1), ('mild', 1)]"
103,La Loggia Imperial Stout,70569,"[('chocolate', 15), ('black', 10), ('roasted', 10), ('coffee', 9), ('dark', 8), ('medium', 6), ('bitter', 6), ('light', 6), ('sweet', 5), ('brown', 5)]"
104,Antares IPA,71783,"[('white', 3), ('clear', 3), ('bitter', 3), ('fruity', 3), ('light', 3), ('pine', 2), ('copper', 1), ('balanced', 1), ('cloudy', 1), ('amber', 1)]"
105,Rubia y Negra,60179,"[('sweet', 2), ('balanced', 2), ('white', 2), ('amber', 2), ('caramel', 2), ('light', 2), ('copper', 1), ('buttery', 1), ('malty', 1), ('creamy', 1)]"
106,Antares Imperial Stout,41129,"[('chocolate', 5), ('black', 4), ('dark', 4), ('alcohol', 3), ('roasted', 3), ('clear', 2), ('caramel', 2), ('toffee', 2), ('dry', 2), ('light', 2)]"
107,Los Bichos Mandan Patagonia Wild Berries Sour,521926,"[('vinegar', 6), ('fruity', 3), ('white', 2), ('clear', 2), ('sharp', 2), ('malty', 1), ('creamy', 1), ('amber', 1), ('orange', 1), ('medium', 1)]"
108,Beagle Fuegian Cream Stout,219693,"[('coffee', 6), ('dark', 6), ('creamy', 5), ('bitter', 5), ('brown', 5), ('sweet', 4), ('caramel', 4), ('roasted', 4), ('chocolate', 4), ('light', 4)]"
109,Berlina Foreign Stout,57120,"[('coffee', 11), ('chocolate', 9), ('light', 7), ('black', 6), ('roasted', 6), ('sweet', 5), ('medium', 3), ('caramel', 3), ('dark', 3), ('bitter', 3)]"
110,Antares Cream Stout,41126,"[('creamy', 6), ('dark', 6), ('chocolate', 4), ('licorice', 4), ('roast', 2), ('sweet', 2), ('balanced', 2), ('coffee', 2), ('dry', 2), ('black', 1)]"
111,Los Bichos Mandan Red Hot Chili Sour,521927,"[('vinegar', 6), ('dark', 4), ('medium', 3), ('red', 3), ('acidic', 3), ('clear', 2), ('full', 2), ('roasted', 2), ('brown', 2), ('amber', 1)]"
112,Berlina Colonia Suiza,345721,"[('sweet', 1)]"
113,Berlina Old Ale,310092,"[('caramel', 2), ('chocolate', 2), ('toffee', 2), ('buttery', 1), ('white', 1), ('malty', 1), ('creamy', 1), ('alcohol', 1), ('amber', 1), ('medium', 1)]"
114,Me Echó La Burra Negra,313977,"[('roasted', 2), ('coffee', 1), ('dark', 1)]"
115,Eisenbrucke Russian Imperial Stout,174900,"[('fruity', 3), ('medium', 2), ('coffee', 2), ('roasted', 2), ('chocolate', 2), ('light', 2), ('roast', 1), ('sweet', 1), ('black', 1), ('creamy', 1)]"
116,Los Bichos Mandan Golden Sour Peaches,521922,"[('vinegar', 5), ('acidic', 4), ('peach', 2), ('malty', 2), ('clear', 2), ('lemon', 2), ('balanced', 1), ('medium', 1), ('mild', 1), ('spicy', 1)]"
117,Juguetes Perdidos Imperial Stout,522500,"[('black', 3), ('roasted', 3), ('alcoholic', 3), ('roast', 2), ('malty', 2), ('medium', 2), ('caramel', 2), ('heavy', 2), ('sweet', 1), ('creamy', 1)]"
118,Itzel American Rye IPA,494884,"[('acidic', 3), ('sweet', 2), ('balanced', 2), ('medium', 2), ('pine', 2), ('white', 1), ('malty', 1), ('amber', 1), ('mild', 1), ('full', 1)]"
119,Berlina India Pale Ale,57119,"[('medium', 5), ('sweet', 4), ('amber', 4), ('light', 4), ('caramel', 3), ('heavy', 3), ('grapefruit', 2), ('white', 2), ('orange', 2), ('hazy', 2)]"
120,Barba Roja Barrel Aged Red Ale,106046,"[('caramel', 13), ('sweet', 7), ('medium', 4), ('red', 4), ('malty', 3), ('clear', 3), ('oily', 3), ('dark', 3), ('toffee', 3), ('dry', 3)]"
121,El Bolson Negra Extra,7165,"[('sweet', 12), ('chocolate', 9), ('dark', 8), ('coffee', 7), ('brown', 6), ('bitter', 5), ('roasted', 4), ('smoked', 2), ('medium', 2), ('honey', 2)]"
122,Buller India Pale Ale,20737,"[('bitter', 6), ('fruity', 6), ('amber', 3), ('clear', 3), ('medium', 3), ('honey', 3), ('light', 3), ('sweet', 2), ('white', 2), ('malty', 2)]"
123,Rubia y Negra,60180,"[('coffee', 5), ('light', 4), ('chocolate', 3), ('black', 2), ('creamy', 2), ('medium', 2), ('roasted', 2), ('deep', 2), ('lingering', 1), ('oily', 1)]"
124,Juguetes Perdidos Strong Dark Belgian Cognac Barrel,522240,"[('dark', 4), ('sweet', 2), ('alcohol', 2), ('harsh', 2), ('caramel', 2), ('metallic', 2), ('bitter', 2), ('fruity', 2), ('brown', 2), ('figs', 1)]"
125,Buller Dry Stout,21203,"[('roasted', 6), ('creamy', 5), ('coffee', 5), ('dark', 4), ('brown', 4), ('chocolate', 3), ('black', 2), ('medium', 2), ('tobacco', 2), ('bitter', 2)]"
126,Kraken Imperial Stout,138006,"[('coffee', 8), ('roasted', 7), ('dark', 7), ('chocolate', 6), ('bitter', 6), ('brown', 6), ('light', 6), ('sweet', 5), ('medium', 5), ('black', 4)]"
127,Bersaglier Cream Stout,52616,"[('coffee', 3), ('light', 3), ('black', 2), ('burnt', 2), ('roasted', 2), ('chocolate', 2), ('bitter', 2), ('opaque', 1), ('complex', 1), ('white', 1)]"
128,Cape Horn Oatmeal Stout,85419,"[('chocolate', 12), ('light', 8), ('black', 6), ('roasted', 6), ('brown', 6), ('dark', 5), ('coffee', 4), ('malty', 3), ('medium', 3), ('white', 2)]"
129,Araucana Negra Bock,57965,"[('roasted', 7), ('caramel', 5), ('dark', 4), ('brown', 4), ('sweet', 3), ('malty', 3), ('amber', 3), ('medium', 3), ('chocolate', 3), ('bready', 2)]"
130,Del Castillo Stout Ahumada,67486,"[('smoked', 6), ('black', 5), ('sweet', 3), ('caramel', 3), ('roasted', 3), ('complex', 2), ('burnt', 2), ('medium', 2), ('coffee', 2), ('prunes', 2)]"
131,Juguetes Perdidos Monster Ale,522217,"[('sweet', 5), ('fruity', 4), ('toffee', 4), ('alcohol', 3), ('orange', 3), ('caramel', 3), ('warming', 2), ('full', 2), ('dark', 2), ('peach', 1)]"
132,Balameb Cinco Muescas,491105,"[('roast', 2), ('dark', 2), ('chocolate', 2), ('sweet', 1), ('black', 1), ('ruby', 1), ('clear', 1), ('medium', 1), ('coffee', 1), ('red', 1)]"
133,Chiruzza Mulata,492890,"[('bitter', 3), ('dry', 3), ('light', 3), ('medium', 2), ('chocolate', 2), ('roast', 1), ('sweet', 1), ('black', 1), ('cloudy', 1), ('ruby', 1)]"
134,Shopron,57174,"[('amber', 3), ('bitter', 3), ('malty', 2), ('medium', 2), ('hazy', 2), ('light', 2), ('sweet', 1), ('copper', 1), ('balanced', 1), ('white', 1)]"
135,Corsario Negro Redbitter,12712,"[('sweet', 8), ('medium', 7), ('bitter', 7), ('fruity', 5), ('brown', 5), ('caramel', 4), ('dark', 4), ('light', 4), ('malty', 3), ('alcohol', 3)]"
136,Araucana Rubia Extra Fuerte,54483,"[('sweet', 7), ('white', 5), ('warming', 4), ('medium', 4), ('alcoholic', 4), ('malty', 3), ('alcohol', 3), ('orange', 3), ('hazy', 3), ('fruity', 3)]"
137,Die Eisenbrucke Dubbel,161733,"[('chocolate', 2), ('brown', 2), ('cloudy', 1), ('malty', 1), ('spicy', 1), ('coffee', 1), ('sharp', 1)]"
138,La Blanca,509298,"[('grapefruit', 1), ('gold', 1), ('hay', 1)]"
139,Sixtofer Oatmeal Stout,162074,"[('roasted', 13), ('chocolate', 10), ('bitter', 8), ('brown', 6), ('dark', 5), ('sweet', 4), ('black', 4), ('malty', 4), ('medium', 4), ('coffee', 4)]"
140,Cardos Lager Pilsen,50850,"[('sweet', 7), ('medium', 7), ('white', 6), ('malty', 4), ('alcoholic', 4), ('dry', 4), ('dense', 3), ('rocky', 3), ('bitter', 3), ('fruity', 3)]"
141,El Bolson Negra Ahumada,7166,"[('smoked', 8), ('black', 6), ('malty', 5), ('chocolate', 5), ('sweet', 4), ('light', 4), ('roasted', 3), ('medium', 2), ('coffee', 2), ('dark', 2)]"
142,Beagle Fuegian Stout (Negra),44267,"[('black', 10), ('coffee', 8), ('chocolate', 8), ('roasted', 5), ('brown', 4), ('alcohol', 3), ('tan', 3), ('light', 3), ('sweet', 2), ('grainy', 2)]"
143,Keusters Dubbel,374374,"[('sweet', 1), ('alcohol', 1), ('caramel', 1), ('dark', 1), ('brown', 1)]"
144,Dargett Coney Island,551631,"[('sweet', 3), ('amber', 3), ('clear', 2), ('white', 1), ('malty', 1), ('medium', 1), ('spicy', 1), ('plum', 1), ('dark', 1), ('pine', 1)]"
145,Dargett The Catcher In The Wheat,567116,"[('fresh', 1), ('smooth', 1)]"
146,Academia Weizen,417634,"[('sweet', 1), ('creamy', 1), ('tart', 1), ('subtle', 1), ('banana', 1), ('fresh', 1), ('vanilla', 1), ('light', 1)]"
147,Academia Pils,417571,"[('medium', 1), ('fresh', 1), ('bready', 1)]"
